primary_hgnc_id	secondary_hgnc_id	primary_symbol	secondary_symbol
HGNC:10863	NA	ST3GAL2	ST3GALII
HGNC:10863	NA	ST3GAL2	ST3GalA.2
HGNC:10864	NA	ST3GAL4	STZ
HGNC:10864	NA	ST3GAL4	SAT3
HGNC:10864	NA	ST3GAL4	FLJ11867
HGNC:10872	NA	ST3GAL5	ST3GalV
HGNC:10872	NA	ST3GAL5	SIATGM3S
HGNC:18080	NA	ST3GAL6	ST3GALVI
HGNC:10860	NA	ST6GAL1	CDw75
HGNC:10861	NA	ST6GAL2	KIAA1877
HGNC:10861	NA	ST6GAL2	St6GalII
HGNC:23614	NA	ST6GALNAC1	ST6GalNAcI
HGNC:10867	NA	ST6GALNAC2	ST6GalNAII
HGNC:10867	NA	ST6GALNAC2	STHM
HGNC:17846	NA	ST6GALNAC4	ST6GALNACIV
HGNC:17846	NA	ST6GALNAC4	SIAT3C
HGNC:19342	NA	ST6GALNAC5	MGC3184
HGNC:19342	NA	ST6GALNAC5	ST6GalNAcV
HGNC:23364	NA	ST6GALNAC6	ST6GALNACVI
HGNC:11351	NA	ST7	TSG7
HGNC:11351	NA	ST7	SEN4
HGNC:11351	NA	ST7	ETS7q
HGNC:11351	NA	ST7	HELG
HGNC:11351	NA	ST7	RAY1
HGNC:11351	NA	ST7	FAM4A
HGNC:16000	NA	ST7-AS1	ST7AS1
HGNC:16044	NA	ST7-AS2	ST7AS2
HGNC:16045	NA	ST7-OT3	NCRNA00026
HGNC:18835	NA	ST7-OT4	NCRNA00042
HGNC:18441	NA	ST7L	FLJ20284
HGNC:18441	NA	ST7L	STLR
HGNC:18441	NA	ST7L	ST7R
HGNC:18441	NA	ST7L	FAM4B
HGNC:10870	NA	ST8SIA2	STX
HGNC:10870	NA	ST8SIA2	ST8SIA-II
HGNC:10870	NA	ST8SIA2	HsT19690
HGNC:10871	NA	ST8SIA4	PST
HGNC:10871	NA	ST8SIA4	PST1
HGNC:44880	NA	ST8SIA6-AS1	APAL
HGNC:11343	NA	ST13	SNC6
HGNC:11343	NA	ST13	HSPABP1
HGNC:11343	NA	ST13	HIP
HGNC:11343	NA	ST13	P48
HGNC:11343	NA	ST13	FAM10A1
HGNC:18552	NA	ST13P3	FAM10A3P
HGNC:18487	NA	ST13P4	FAM10A4P
HGNC:18557	NA	ST13P6	FAM10A6P
HGNC:18558	NA	ST13P7	FAM10A7P
HGNC:11344	NA	ST14	SNC19
HGNC:11344	NA	ST14	HAI
HGNC:11344	NA	ST14	MT-SP1
HGNC:11344	NA	ST14	TMPRSS14
HGNC:11344	NA	ST14	CAP3
HGNC:18695	NA	ST18	KIAA0535
HGNC:18695	NA	ST18	ZC2HC10
HGNC:18695	NA	ST18	NZF3
HGNC:18695	NA	ST18	NZF-3
HGNC:18695	NA	ST18	ZC2H2C3
HGNC:33520	NA	ST20	HCCS-1
HGNC:27521	NA	ST20-AS1	FLJ33788
HGNC:18628	NA	STAB1	KIAA0246
HGNC:18628	NA	STAB1	STAB-1
HGNC:18628	NA	STAB1	FEEL-1
HGNC:18628	NA	STAB1	CLEVER-1
HGNC:18628	NA	STAB1	FELE-1
HGNC:18628	NA	STAB1	FEX1
HGNC:18628	NA	STAB1	SCARH2
HGNC:18629	NA	STAB2	DKFZP434E0321
HGNC:18629	NA	STAB2	FELL
HGNC:18629	NA	STAB2	STAB-2
HGNC:18629	NA	STAB2	HARE
HGNC:18629	NA	STAB2	FEEL-2
HGNC:18629	NA	STAB2	SCARH1
HGNC:11353	NA	STAC	STAC1
HGNC:23990	NA	STAC2	24b2
HGNC:28423	NA	STAC3	MGC2793
HGNC:11354	NA	STAG1	SA-1
HGNC:11354	NA	STAG1	SCC3A
HGNC:11354	NA	STAG1	SA1
HGNC:11355	NA	STAG2	SA-2
HGNC:11355	NA	STAG2	SCC3B
HGNC:11355	NA	STAG2	SA2
HGNC:11356	NA	STAG3	SA3
HGNC:33852	NA	STAG3L1	DKFZP434A0131
HGNC:33852	NA	STAG3L1	STAG3L1P
HGNC:33886	NA	STAG3L2	MGC131759
HGNC:33886	NA	STAG3L2	STAG3L2P
HGNC:33845	NA	STAG3L3	STAG3L3P
HGNC:33887	NA	STAG3L4	FLJ13195
HGNC:33887	NA	STAG3L4	STAG3L4P
